survey_utc,channel,center_hz,td_transform_uv2,device_psd_uv2
2025-07-16T19:44:39Z,ONE_THREE_LEFT,7.5,3.20098,11.54
2025-07-16T19:44:39Z,ONE_THREE_LEFT,8.5,2.7881,9.4261
2025-07-16T19:44:39Z,ONE_THREE_LEFT,9.5,1.76364,7.76546
2025-07-16T19:44:39Z,ONE_THREE_LEFT,10.5,1.56095,6.59163
2025-07-16T19:44:39Z,ONE_THREE_LEFT,11.5,1.28024,5.86622
2025-07-16T19:44:39Z,ONE_THREE_LEFT,12.5,1.1273,5.28527
2025-07-16T19:44:39Z,ONE_THREE_LEFT,13.5,0.869078,4.37685
2025-07-16T19:44:39Z,ONE_THREE_LEFT,14.5,0.720782,3.74512
2025-07-16T19:44:39Z,ONE_THREE_LEFT,15.5,0.664446,3.30409
2025-07-16T19:44:39Z,ONE_THREE_LEFT,16.5,0.538289,2.76341
2025-07-16T19:44:39Z,ONE_THREE_LEFT,17.5,0.516644,2.40953
2025-07-16T19:44:39Z,ONE_THREE_LEFT,18.5,0.454626,2.26493
2025-07-16T19:44:39Z,ONE_THREE_LEFT,19.5,0.463855,2.21467
2025-07-16T19:44:39Z,ONE_THREE_LEFT,20.5,0.520607,2.26151
2025-07-16T19:44:39Z,ONE_THREE_LEFT,21.5,0.468713,2.28323
2025-07-16T19:44:39Z,ONE_THREE_LEFT,22.5,0.495046,2.20328
2025-07-16T19:44:39Z,ONE_THREE_LEFT,23.5,0.400244,1.96037
2025-07-16T19:44:39Z,ONE_THREE_LEFT,24.5,0.248135,1.55563
2025-07-16T19:44:39Z,ONE_THREE_LEFT,25.5,0.203078,1.16381
2025-07-16T19:44:39Z,ONE_THREE_LEFT,26.5,0.161507,0.87572
2025-07-16T19:44:39Z,ONE_THREE_LEFT,27.5,0.15751,0.677597
2025-07-16T19:44:39Z,ONE_TWO_LEFT,7.5,1.0449,4.96961
2025-07-16T19:44:39Z,ONE_TWO_LEFT,8.5,0.852103,4.47991
2025-07-16T19:44:39Z,ONE_TWO_LEFT,9.5,0.807655,4.03044
2025-07-16T19:44:39Z,ONE_TWO_LEFT,10.5,0.718313,3.63197
2025-07-16T19:44:39Z,ONE_TWO_LEFT,11.5,0.683834,3.38071
2025-07-16T19:44:39Z,ONE_TWO_LEFT,12.5,0.713569,3.11204
2025-07-16T19:44:39Z,ONE_TWO_LEFT,13.5,0.638958,2.60582
2025-07-16T19:44:39Z,ONE_TWO_LEFT,14.5,0.50264,2.2291
2025-07-16T19:44:39Z,ONE_TWO_LEFT,15.5,0.441572,1.81934
2025-07-16T19:44:39Z,ONE_TWO_LEFT,16.5,0.314351,1.45761
2025-07-16T19:44:39Z,ONE_TWO_LEFT,17.5,0.30227,1.30607
2025-07-16T19:44:39Z,ONE_TWO_LEFT,18.5,0.246805,1.28721
2025-07-16T19:44:39Z,ONE_TWO_LEFT,19.5,0.284713,1.30607
2025-07-16T19:44:39Z,ONE_TWO_LEFT,20.5,0.332001,1.35685
