contact,rate_hz,margin_s,n_points,n_runs,slope,se
L 1-3+,55.0,0,10,2,14.23648732521091,19.1900384889451
L 1-3+,55.0,2,10,2,14.23648732521091,19.1900384889451
L 1-3+,55.0,4,10,2,14.23648732521091,19.1900384889451
L 1-3+,55.0,6,10,2,14.23648732521091,19.1900384889451
L 1-3+,55.0,8,10,2,14.23648732521091,19.1900384889451
L 1-3+,55.0,10,10,2,14.23648732521091,19.1900384889451
L 1-3+,55.0,12,10,2,14.23648732521091,19.1900384889451
L 1-3+,55.0,14,10,2,14.23648732521091,19.1900384889451
L 1-3+,55.0,16,10,2,14.23648732521091,19.1900384889451
L 1-3+,55.0,18,9,2,38.22480788707126,19.671205299130833
L 1-3+,55.0,20,9,2,38.22480788707126,19.671205299130833
L 1-3+,110.0,0,10,3,0.6083438295582986,5.120264256917699
L 1-3+,110.0,2,10,3,0.6083438295582986,5.120264256917699
L 1-3+,110.0,4,10,3,0.6083438295582986,5.120264256917699
L 1-3+,110.0,6,10,3,0.6083438295582986,5.120264256917699
L 1-3+,110.0,8,10,3,0.6083438295582986,5.120264256917699
L 1-3+,110.0,10,10,3,0.6083438295582986,5.120264256917699
L 1-3+,110.0,12,10,3,0.6083438295582986,5.120264256917699
L 1-3+,110.0,14,10,3,0.6083438295582986,5.120264256917699
L 1-3+,110.0,16,9,3,-0.9902003822574049,4.471539398259711
L 1-3+,110.0,18,9,3,-0.9902003822574049,4.471539398259711
L 1-3+,110.0,20,9,3,-0.9902003822574049,4.471539398259711
L 1-3+,145.0,0,5,1,-19.78914013322528,7.629581872710745
L 1-3+,145.0,2,5,1,-19.78914013322528,7.629581872710745
L 1-3+,145.0,4,5,1,-19.78914013322528,7.629581872710745
L 1-3+,145.0,6,5,1,-19.78914013322528,7.629581872710745
L 1-3+,145.0,8,4,1,-16.17740292555538,6.900063728745786
L 1-3+,145.0,10,4,1,-16.17740292555538,6.900063728745786
L 1-3+,145.0,12,4,1,-16.17740292555538,6.900063728745786
L 1-3+,145.0,14,4,1,-16.17740292555538,6.900063728745786
L 1-3+,145.0,16,4,1,-16.17740292555538,6.900063728745786
L 1-3+,145.0,18,4,1,-16.17740292555538,6.900063728745786
L 1-3+,145.0,20,4,1,-16.17740292555538,6.900063728745786
L 0-3+,110.0,0,8,3,-1.7126643505177588,11.635244415920381
L 0-3+,110.0,2,8,3,-1.7126643505177588,11.635244415920381
L 0-3+,110.0,4,8,3,-1.7126643505177588,11.635244415920381
L 0-3+,110.0,6,7,3,15.26017920157473,29.58739289687729
L 0-3+,110.0,8,7,3,15.26017920157473,29.58739289687729
L 0-3+,110.0,10,7,3,15.26017920157473,29.58739289687729
L 0-3+,110.0,12,7,3,15.26017920157473,29.58739289687729
L 0-3+,110.0,14,6,3,36.719370168891004,13.937512054390332
L 0-3+,110.0,16,6,3,36.719370168891004,13.937512054390332
L 0-3+,110.0,18,6,3,36.719370168891004,13.937512054390332
L 0-3+,110.0,20,6,3,36.719370168891004,13.937512054390332
L 0-2+,110.0,0,6,1,-10.167438622639134,10.338118920931741
L 0-2+,110.0,2,6,1,-10.167438622639134,10.338118920931741
L 0-2+,110.0,4,6,1,-10.167438622639134,10.338118920931741
L 0-2+,110.0,6,6,1,-10.167438622639134,10.338118920931741
L 0-2+,110.0,8,6,1,-10.167438622639134,10.338118920931741
L 0-2+,110.0,10,6,1,-10.167438622639134,10.338118920931741
L 0-2+,110.0,12,6,1,-10.167438622639134,10.338118920931741
L 0-2+,110.0,14,6,1,-10.167438622639134,10.338118920931741
L 0-2+,110.0,16,6,1,-10.167438622639134,10.338118920931741
L 0-2+,110.0,18,6,1,-10.167438622639134,10.338118920931741
L 0-2+,110.0,20,6,1,-10.167438622639134,10.338118920931741
R 0-3+,55.0,0,12,3,3.3175686063598677,7.277601589482772
R 0-3+,55.0,2,12,3,3.3175686063598677,7.277601589482772
R 0-3+,55.0,4,12,3,3.3175686063598677,7.277601589482772
R 0-3+,55.0,6,12,3,3.3175686063598677,7.277601589482772
R 0-3+,55.0,8,12,3,3.3175686063598677,7.277601589482772
R 0-3+,55.0,10,12,3,3.3175686063598677,7.277601589482772
R 0-3+,55.0,12,12,3,3.3175686063598677,7.277601589482772
R 0-3+,55.0,14,12,3,3.3175686063598677,7.277601589482772
R 0-3+,55.0,16,12,3,3.3175686063598677,7.277601589482772
R 0-3+,55.0,18,11,3,2.7762119598355284,9.60136319049381
R 0-3+,55.0,20,11,3,2.7762119598355284,9.60136319049381
R 0-3+,110.0,0,24,7,-5.272898743952319,4.767879339895691
R 0-3+,110.0,2,24,7,-5.272898743952319,4.767879339895691
R 0-3+,110.0,4,24,7,-5.272898743952319,4.767879339895691
R 0-3+,110.0,6,23,7,0.7594652579856632,5.0805323536164275
R 0-3+,110.0,8,23,7,0.7594652579856632,5.0805323536164275
