metric,channel,peak_center,band_lo,band_hi,run_lo,run_hi,run_width,r,cohens_d,p_logit,q_logit,n,n_ratings
back_vas,ZERO_THREE_LEFT,23.5,21.0,26.0,18.5,30.5,13,0.48669369872352103,1.4729065,0.0002262647749293028,0.06312787220527548,63,25
back_vas,ZERO_TWO_LEFT,88.5,86.0,91.0,88.5,90.5,3,-0.40703450830275967,-0.852747,0.0054876944343936005,0.3420025501965041,56,26
back_vas,ONE_THREE_RIGHT,53.5,51.0,56.0,52.5,54.5,3,-0.3587439555423364,-0.7052545,0.005543543905197347,0.3420025501965041,53,24
back_vas,ZERO_TWO_LEFT,36.5,34.0,39.0,35.5,37.5,3,-0.3906989205023386,-0.9289736,0.005661335567499272,0.3420025501965041,56,26
back_vas,ZERO_TWO_RIGHT,48.5,46.0,51.0,47.5,53.5,7,-0.31103806765962017,-0.9488594,0.0074906917972840745,0.3420025501965041,53,24
back_vas,ZERO_THREE_LEFT,71.5,69.0,74.0,70.5,73.5,4,-0.4102591820890718,-1.0617545,0.013628043470803004,0.3420025501965041,63,25
back_vas,ZERO_TWO_LEFT,54.5,52.0,57.0,52.5,58.5,7,-0.54759525067497,-1.2472737,0.014917460456868922,0.3420025501965041,56,26
back_vas,ZERO_TWO_LEFT,85.5,83.0,88.0,85.5,86.5,2,-0.44235906262264196,-1.0377125,0.017280563375642065,0.3499751866499451,56,26
back_vas,ZERO_TWO_RIGHT,56.5,54.0,59.0,56.5,57.5,2,-0.3318999695483248,-0.59453666,0.018197174443410315,0.3499751866499451,53,24
back_vas,ZERO_TWO_LEFT,39.5,37.0,42.0,39.5,39.5,1,-0.39844798714806734,-0.87508965,0.01944306592499695,0.3499751866499451,56,26
back_vas,ZERO_TWO_LEFT,92.5,90.0,95.0,92.5,92.5,1,-0.35175092126639174,-0.7281492,0.023360921295199948,0.3620942800755992,56,26
back_vas,ONE_THREE_RIGHT,44.5,42.0,47.0,44.5,45.5,2,-0.31376478643551187,-0.7117641,0.025803986137187842,0.3766289630952602,53,24
back_vas,ZERO_THREE_LEFT,60.5,58.0,63.0,60.5,60.5,1,-0.33411021817225334,-1.0157744,0.026536994907484044,0.3766289630952602,63,25
back_vas,ZERO_THREE_RIGHT,80.5,78.0,83.0,79.5,80.5,2,-0.1766694899229851,-0.6177555,0.02699849197815485,0.3766289630952602,94,34
back_vas,ZERO_THREE_LEFT,84.5,82.0,87.0,84.5,84.5,1,-0.43426244837412736,-1.0334121,0.02809175112678927,0.3823218811889857,63,25
back_vas,ZERO_TWO_LEFT,98.5,96.0,101.0,98.5,98.5,1,-0.3769031443580046,-0.7616137,0.029882529769580495,0.3865545506113037,56,26
back_vas,ZERO_THREE_LEFT,52.5,50.0,55.0,51.5,53.5,3,-0.42440903122547546,-0.9766847,0.033109276845735836,0.3865545506113037,63,25
back_vas,ZERO_TWO_LEFT,61.5,59.0,64.0,60.5,61.5,2,-0.43758169490338067,-1.1336027,0.03451142100967971,0.38731273580588216,56,26
back_vas,ZERO_TWO_LEFT,25.5,23.0,28.0,23.5,25.5,3,0.26496653292471506,0.8605181,0.03772346069630879,0.3897397499848232,56,26
back_vas,ZERO_TWO_LEFT,50.5,48.0,53.0,50.5,50.5,1,-0.3940290517897722,-0.88627714,0.042903030413279274,0.4069342552899162,56,26
back_vas,ZERO_TWO_LEFT,73.5,71.0,76.0,73.5,73.5,1,-0.4766094175065366,-1.3077272,0.043450849690027674,0.4069342552899162,56,26
back_vas,ZERO_THREE_LEFT,81.5,79.0,84.0,81.5,81.5,1,-0.37464551520555367,-0.76989865,0.04737503750177107,0.41513585585506374,63,25
composite_mpq_leftleg,ZERO_TWO_LEFT,92.5,90.0,95.0,83.5,94.5,12,-0.45978083754158927,-1.0860784,0.0012847469328122608,0.14337775770184832,79,31
