channel,win_h,t_epoch,center_hz,psd_bandpower_uV2,lsb,n_lsb_in_window
ZERO_THREE_RIGHT,1,1752695229.0,24.4,0.2880228266248652,55.0,18
ZERO_THREE_RIGHT,1,1752695469.0,24.4,0.4055532695658465,55.0,18
ZERO_THREE_RIGHT,1,1752695969.75,24.4,0.19752599492413747,55.0,18
ZERO_THREE_RIGHT,1,1752713293.0,24.4,0.2323563062809451,54.5,24
ZERO_THREE_RIGHT,1,1752713546.0,24.4,0.3058978474146187,54.5,24
ZERO_THREE_RIGHT,1,1752713860.0,24.4,0.23559812771221844,54.5,24
ZERO_THREE_RIGHT,1,1752714370.25,24.4,0.25045903767810196,54.5,24
ZERO_THREE_RIGHT,1,1752715072.75,24.4,0.2126326824941029,54.5,24
ZERO_THREE_RIGHT,1,1753291811.0,13.7,0.591136283138068,156.0,16
ZERO_THREE_RIGHT,1,1753291949.2,13.7,0.6828033660391548,156.0,15
ZERO_THREE_RIGHT,1,1753389184.0,13.7,0.7786836240601349,154.5,16
ZERO_THREE_RIGHT,1,1753389245.95,13.7,0.6847795939733534,154.5,16
ZERO_THREE_RIGHT,1,1753545330.0,13.7,0.7011461545703707,179.0,9
ZERO_THREE_RIGHT,1,1753545387.2,13.7,0.9424762053802086,179.0,9
ZERO_THREE_RIGHT,1,1754408830.0,23.4,0.3127741778855593,92.0,12
ZERO_THREE_RIGHT,1,1754408880.9,23.4,0.34351384463874673,92.0,12
ZERO_THREE_RIGHT,1,1754514803.0,23.4,0.2969160294956994,121.0,1
ZERO_THREE_RIGHT,1,1754514868.55,23.4,0.32702808156381147,121.0,1
ZERO_THREE_RIGHT,1,1754597026.0,23.4,0.31267509037845703,78.0,11
ZERO_THREE_RIGHT,1,1754597073.55,23.4,0.1789182213172043,78.0,11
ZERO_THREE_RIGHT,1,1754666941.0,23.4,0.4146699694424909,105.0,11
ZERO_THREE_RIGHT,1,1754667035.25,23.4,0.4610808674340375,105.0,11
ZERO_THREE_RIGHT,1,1754792936.55,23.4,0.4779795795276523,139.0,12
ZERO_THREE_RIGHT,1,1754841444.0,23.4,0.3955958575783586,92.0,10
ZERO_THREE_RIGHT,1,1754841490.3,23.4,0.33414938610897243,92.0,10
ZERO_THREE_RIGHT,1,1754843534.3,23.4,0.2888005574792274,85.0,2
ZERO_THREE_RIGHT,1,1754843717.8,23.4,0.3479860807893999,85.0,2
ZERO_THREE_RIGHT,1,1755200288.0,23.4,0.395269253229641,98.0,3
ZERO_THREE_RIGHT,1,1755200349.2,23.4,0.5768979286156309,98.0,3
ZERO_THREE_RIGHT,1,1755295317.0,23.4,0.7424095167010129,169.0,2
ZERO_THREE_RIGHT,1,1755295372.8,23.4,1.8155285854081866,169.0,2
ZERO_THREE_RIGHT,1,1755295404.8,23.4,0.7748812752339513,169.0,2
ZERO_THREE_RIGHT,1,1755373155.0,23.4,0.2933543062014818,92.0,15
ZERO_THREE_RIGHT,1,1755373209.85,23.4,0.3340089838404344,92.0,15
ZERO_THREE_RIGHT,1,1755646739.0,23.4,0.5759712214409092,92.0,21
ZERO_THREE_RIGHT,1,1755646784.7,23.4,0.37957894432484085,92.0,21
ZERO_THREE_RIGHT,1,1755699552.0,23.4,0.4239620519119556,137.0,15
ZERO_THREE_RIGHT,1,1755699604.15,23.4,0.25092880700237913,137.0,15
ZERO_THREE_RIGHT,1,1755699958.6,23.4,0.28527347128830205,124.5,12
ZERO_THREE_RIGHT,1,1755803308.05,8.8,1.2887595916589771,372.5,2500
ZERO_THREE_RIGHT,1,1755803886.0,8.8,1.14200295243487,371.0,3351
ZERO_THREE_RIGHT,1,1755804033.0,8.8,1.3947436546805874,367.0,3630
ZERO_THREE_RIGHT,1,1755804652.0,8.8,1.3901390577524664,358.0,4867
ZERO_THREE_RIGHT,1,1755805647.5,8.8,1.0565740305163034,357.0,5335
ZERO_THREE_RIGHT,1,1755805769.25,8.8,1.0519914013446166,357.0,5335
ZERO_THREE_RIGHT,1,1755805854.5,8.8,1.5842194359669493,357.0,5335
ZERO_THREE_RIGHT,1,1755807096.25,8.8,1.3141778654166152,357.0,5346
ZERO_THREE_RIGHT,1,1755807145.5,8.8,1.9064628342642838,357.0,5346
ZERO_THREE_RIGHT,1,1755807556.75,8.8,1.152761498946678,357.0,5346
ZERO_THREE_RIGHT,1,1755809368.0,8.8,1.3452547786134035,355.4000000000002,5116
ZERO_THREE_RIGHT,1,1755809552.0,8.8,1.0549581247550701,348.0,4765
ZERO_THREE_RIGHT,1,1755893201.0,23.4,0.4097074940800778,460.0,10
ZERO_THREE_RIGHT,1,1755893268.5,23.4,0.27269923140059604,467.0,9
ZERO_THREE_RIGHT,1,1755965888.0,7.8,1.9152836061917229,500.0,5
ZERO_THREE_RIGHT,1,1755965935.4,7.8,2.255048864121853,500.0,5
