date_utc,lead,status,right_0_3_bipolar_ohm,right_0_3idx_ohm
1752694856.0,LEAD_B33015,GOOD,1542.0,2630.0
1752712304.0,LEAD_B33015,GOOD,1513.0,2601.0
1753054040.0,LEAD_B33015,GOOD,1760.0,2703.0
1753291107.0,LEAD_B33015,GOOD,2630.0,4737.0
1753388936.0,LEAD_B33015,INVESTIGATE,3051.0,5045.0
1753479682.0,LEAD_B33015,INVESTIGATE,3065.0,4955.0
1753545051.0,LEAD_B33015,INVESTIGATE,3080.0,4857.0
1753625366.0,LEAD_B33015,INVESTIGATE,3385.0,4871.0
1753715323.0,LEAD_B33015,INVESTIGATE,3428.0,4828.0
1753803470.0,LEAD_B33015,INVESTIGATE,3544.0,4871.0
1753809145.0,LEAD_B33015,INVESTIGATE,3588.0,4911.0
1753902519.0,LEAD_B33015,INVESTIGATE,3631.0,4904.0
1753904655.0,LEAD_B33015,INVESTIGATE,3617.0,4882.0
1754408378.0,LEAD_B33015,INVESTIGATE,3718.0,4958.0
1754514528.0,LEAD_B33015,INVESTIGATE,3443.0,4842.0
1754596772.0,LEAD_B33015,INVESTIGATE,2804.0,4393.0
1754666669.0,LEAD_B33015,INVESTIGATE,3747.0,5049.0
1754792651.0,LEAD_B33015,INVESTIGATE,3907.0,5219.0
1754841153.0,LEAD_B33015,INVESTIGATE,3776.0,5121.0
1754966148.0,LEAD_B33015,INVESTIGATE,3834.0,5179.0
1755013372.0,LEAD_B33015,INVESTIGATE,3747.0,4915.0
1755200033.0,LEAD_B33015,INVESTIGATE,3660.0,4839.0
1755295107.0,LEAD_B33015,INVESTIGATE,3776.0,5111.0
1755372894.0,LEAD_B33015,INVESTIGATE,3747.0,4958.0
1755445326.0,LEAD_B33015,INVESTIGATE,3747.0,5038.0
1755446710.0,LEAD_B33015,INVESTIGATE,3718.0,5020.0
1755646479.0,LEAD_B33015,INVESTIGATE,3718.0,4973.0
1755699272.0,LEAD_B33015,INVESTIGATE,3472.0,4868.0
1755709900.0,LEAD_B33015,INVESTIGATE,3530.0,4675.0
1755803109.0,LEAD_B33015,GOOD,2939.0,3732.0
1755892969.0,LEAD_B33015,INVESTIGATE,3530.0,4062.0
1755965630.0,LEAD_B33015,INVESTIGATE,3820.0,4411.0
1756144662.0,LEAD_B33015,INVESTIGATE,3965.0,4494.0
1756233234.0,LEAD_B33015,INVESTIGATE,3341.0,4012.0
1756311572.0,LEAD_B33015,INVESTIGATE,3762.0,4338.0
1756395423.0,LEAD_B33015,INVESTIGATE,3573.0,4860.0
1756482454.0,LEAD_B33015,INVESTIGATE,3936.0,5053.0
1756573422.0,LEAD_B33015,INVESTIGATE,3211.0,4396.0
1756661468.0,LEAD_B33015,INVESTIGATE,3530.0,4661.0
1756741500.0,LEAD_B33015,INVESTIGATE,3747.0,4878.0
1756846538.0,LEAD_B33015,INVESTIGATE,3428.0,4472.0
1756925086.0,LEAD_B33015,INVESTIGATE,3791.0,4781.0
1757011854.0,LEAD_B33015,INVESTIGATE,3544.0,4679.0
1757081707.0,LEAD_B33015,INVESTIGATE,3718.0,4367.0
1757175325.0,LEAD_B33015,INVESTIGATE,3704.0,4186.0
1757282038.0,LEAD_B33015,GOOD,3863.0,4284.0
1757446084.0,LEAD_B33015,INVESTIGATE,3878.0,4338.0
1757525207.0,LEAD_B33015,GOOD,3747.0,4266.0
1757534629.0,LEAD_B33015,INVESTIGATE,3660.0,4621.0
1757637775.0,LEAD_B33015,INVESTIGATE,3167.0,3414.0
1757697301.0,LEAD_B33015,INVESTIGATE,3704.0,3907.0
1757785918.0,LEAD_B33015,INVESTIGATE,3747.0,3994.0
1757875003.0,LEAD_B33015,GOOD,3990.0,4033.0
1757970207.0,LEAD_B33015,GOOD,3907.0,3907.0
1758042602.0,LEAD_B33015,INVESTIGATE,3559.0,3939.0
1758123885.0,LEAD_B33015,INVESTIGATE,3747.0,3888.0
1758215495.0,LEAD_B33015,INVESTIGATE,3863.0,4048.0
1758217289.0,LEAD_B33015,GOOD,3798.0,4044.0
1758415339.0,LEAD_B33015,INVESTIGATE,3936.0,3896.0
1758481753.0,LEAD_B33015,INVESTIGATE,3994.0,3885.0
1758639982.0,LEAD_B33015,INVESTIGATE,3776.0,3805.0
1758737595.0,LEAD_B33015,INVESTIGATE,3972.0,3874.0
1758814637.0,LEAD_B33015,INVESTIGATE,3972.0,3896.0
1758900906.0,LEAD_B33015,INVESTIGATE,4008.0,3834.0
1758988657.0,LEAD_B33015,INVESTIGATE,3791.0,3762.0
1759182178.0,LEAD_B33015,INVESTIGATE,3820.0,4030.0
1759249056.0,LEAD_B33015,INVESTIGATE,3704.0,3979.0
1759338607.0,LEAD_B33015,INVESTIGATE,3907.0,3874.0
1759428570.0,LEAD_B33015,GOOD,3707.0,4037.0
1759699160.0,LEAD_B33015,INVESTIGATE,3986.0,4247.0
1759797934.0,LEAD_B33015,INVESTIGATE,2833.0,3153.0
1759952810.0,LEAD_B33015,INVESTIGATE,3820.0,3834.0
1760057830.0,LEAD_B33015,INVESTIGATE,3646.0,3791.0
1760112502.0,LEAD_B33015,INVESTIGATE,3704.0,3885.0
1760199916.0,LEAD_B33015,INVESTIGATE,3863.0,4030.0
1760314844.0,LEAD_B33015,INVESTIGATE,2877.0,3037.0
1760379131.0,LEAD_B33015,INVESTIGATE,3036.0,3530.0
1760465325.0,LEAD_B33015,GOOD,3801.0,4073.0
1760577044.0,LEAD_B33015,GOOD,3588.0,4592.0
1760630297.0,LEAD_B33015,GOOD,3950.0,4893.0
1760717374.0,LEAD_B33015,GOOD,3675.0,3965.0
1760832754.0,LEAD_B33015,INVESTIGATE,3037.0,4490.0
1760998253.0,LEAD_B33015,INVESTIGATE,3443.0,4592.0
1760999085.0,LEAD_B33015,INVESTIGATE,3443.0,4603.0
1761088117.0,LEAD_B33015,GOOD,3312.0,4342.0
1761246627.0,LEAD_B33015,GOOD,3892.0,5056.0
1761758994.0,LEAD_B33015,GOOD,3298.0,4661.0
1761847820.0,LEAD_B33015,GOOD,3240.0,3896.0
1761957994.0,LEAD_B33015,GOOD,3921.0,4233.0
1762042117.0,LEAD_B33015,GOOD,3950.0,4342.0
1762136219.0,LEAD_B33015,GOOD,3776.0,4276.0
1762193053.0,LEAD_B33015,GOOD,3298.0,3965.0
1762295280.0,LEAD_B33015,GOOD,3834.0,4131.0
1762622493.0,LEAD_B33015,GOOD,3820.0,4363.0
1762639601.0,LEAD_B33015,GOOD,3892.0,4353.0
1762717853.0,LEAD_B33015,GOOD,3689.0,4062.0
1762798949.0,LEAD_B33015,GOOD,3573.0,3899.0
1762908692.0,LEAD_B33015,GOOD,3646.0,4153.0
1762968912.0,LEAD_B33015,GOOD,3791.0,4400.0
1763054001.0,LEAD_B33015,GOOD,3925.0,4244.0
