metric,channel,center,band_lo,band_hi,n,n_low,n_high,n_ratings,r,p_pearson,cohens_d,logit_beta,p_logit_cluster
nrs,ONE_THREE_LEFT,6.5,4.0,9.0,90,34,45,47,-0.4390800135519446,1.496222236357316e-05,-0.899001,-1.7185274761097658,0.03828733404102616
nrs,ONE_THREE_LEFT,7.5,5.0,10.0,90,34,45,47,-0.43482515944569416,1.8477389065173392e-05,-0.83598906,-1.584769675947291,0.04437873586089733
nrs,ONE_THREE_LEFT,8.5,6.0,11.0,90,34,45,47,-0.4147105402365115,4.826452926747473e-05,-0.79579616,-1.3740103426562913,0.040051272852486004
nrs,ONE_THREE_LEFT,9.5,7.0,12.0,90,34,45,47,-0.41115603322153804,5.683302088605912e-05,-0.7413806,-1.190494575839121,0.0473415369526195
nrs,ONE_THREE_LEFT,10.5,8.0,13.0,90,34,45,47,-0.3776534578289058,0.00024300291811621608,-0.6638965,-1.051211685566304,0.06264749128506274
nrs,ONE_THREE_LEFT,11.5,9.0,14.0,90,34,45,47,-0.33673185878156336,0.0011737319973418286,-0.5489449,-0.8380765048262508,0.1112739780054464
nrs,ONE_THREE_LEFT,12.5,10.0,15.0,90,34,45,47,-0.31671652362740427,0.002355284700301956,-0.5340998,-0.8336385519469389,0.118531909332384
nrs,ONE_THREE_LEFT,13.5,11.0,16.0,90,34,45,47,-0.2979022845109912,0.004348688282157452,-0.48152047,-0.7253948164664573,0.14082880612123128
nrs,ONE_THREE_LEFT,14.5,12.0,17.0,90,34,45,47,-0.2567389436101606,0.014578404249203012,-0.40687993,-0.6336353342059377,0.17856187696743764
nrs,ONE_THREE_LEFT,15.5,13.0,18.0,90,34,45,47,-0.21351779854428873,0.04331508288598511,-0.3137281,-0.5025101473279484,0.2715757016262508
nrs,ONE_THREE_LEFT,16.5,14.0,19.0,90,34,45,47,-0.21694964307534023,0.039982809002468526,-0.341485,-0.5710499220385573,0.23554634616712256
nrs,ONE_THREE_LEFT,17.5,15.0,20.0,90,34,45,47,-0.1936411284401767,0.06744272468725014,-0.30030003,-0.4999941002610428,0.2811953127065776
nrs,ONE_THREE_LEFT,18.5,16.0,21.0,90,34,45,47,-0.14415141804483675,0.17525329967644435,-0.15218563,-0.24794238287679926,0.5836160531243418
nrs,ONE_THREE_LEFT,19.5,17.0,22.0,90,34,45,47,-0.1029756354878186,0.3341304833624131,-0.095769964,-0.16573750461440884,0.7304276659208289
nrs,ONE_THREE_LEFT,20.5,18.0,23.0,90,34,45,47,-0.06988113495718618,0.5127997592365559,-0.049410067,-0.0826853334100937,0.8643716821299472
nrs,ONE_THREE_LEFT,21.5,19.0,24.0,90,34,45,47,0.035430970963113095,0.7402417102082769,0.122427195,0.20036116506265272,0.6628012819889573
nrs,ONE_THREE_LEFT,22.5,20.0,25.0,90,34,45,47,0.09165451665087093,0.39024837135824386,0.23215446,0.3782844990618543,0.4125123608197796
nrs,ONE_THREE_LEFT,23.5,21.0,26.0,90,34,45,47,0.1097398956891448,0.30317668676622106,0.21039328,0.3332497786122445,0.4745142864399773
nrs,ONE_THREE_LEFT,24.5,22.0,27.0,90,34,45,47,0.11694413229458812,0.2723386636834413,0.19547205,0.29754579741964743,0.5111026226531439
nrs,ONE_THREE_LEFT,25.5,23.0,28.0,90,34,45,47,0.08902501467129477,0.40404533210785226,0.13635527,0.20068585249135915,0.6437520784462529
nrs,ONE_THREE_LEFT,26.5,24.0,29.0,90,34,45,47,0.0678697305435421,0.52503586181466,0.08323105,0.12135434839211658,0.7798414115388448
nrs,ONE_THREE_LEFT,27.5,25.0,30.0,90,34,45,47,0.0015358894314757249,0.9885371423048444,-0.055478267,-0.08322636845345448,0.8526424956235078
nrs,ONE_THREE_LEFT,28.5,26.0,31.0,90,34,45,47,-0.01538548138769177,0.8855575611497284,-0.076579124,-0.11624886718678007,0.7981023375669061
nrs,ONE_THREE_LEFT,29.5,27.0,32.0,90,34,45,47,-0.04866589012359002,0.6487484336710541,-0.12792714,-0.19962409961828403,0.6790941520213578
nrs,ONE_THREE_LEFT,30.5,28.0,33.0,90,34,45,47,-0.06657725142132599,0.5329752591640332,-0.14483444,-0.2176222469720007,0.6371302660917114
nrs,ONE_THREE_LEFT,31.5,29.0,34.0,90,34,45,47,-0.10748847732698205,0.3132642971052704,-0.22021228,-0.33951814478933645,0.47934931364603406
nrs,ONE_THREE_LEFT,32.5,30.0,35.0,90,34,45,47,-0.1269198580038506,0.2332360612941723,-0.24572587,-0.40225350300042456,0.45658089082093034
nrs,ONE_THREE_LEFT,33.5,31.0,36.0,90,34,45,47,-0.1661992494037178,0.11744832446696017,-0.33950257,-0.5437893655785412,0.3148600036077759
nrs,ONE_THREE_LEFT,34.5,32.0,37.0,90,34,45,47,-0.21880346524922942,0.038273532549371915,-0.46422058,-0.7063473286609842,0.17583504758756874
nrs,ONE_THREE_LEFT,35.5,33.0,38.0,90,34,45,47,-0.25912854245308004,0.013654473361103368,-0.5623458,-0.9056592586581632,0.1147417664766996
nrs,ONE_THREE_LEFT,36.5,34.0,39.0,90,34,45,47,-0.31734452143365083,0.00230599135536422,-0.68619484,-1.1497331376569333,0.048463318659391484
nrs,ONE_THREE_LEFT,37.5,35.0,40.0,90,34,45,47,-0.2750253486276628,0.008704536829665394,-0.6138718,-1.0338304443287054,0.06352101332449313
nrs,ONE_THREE_LEFT,38.5,36.0,41.0,90,34,45,47,-0.29745042440993646,0.004411092282855719,-0.58072364,-0.9705459136337289,0.07951023283268338
nrs,ONE_THREE_LEFT,39.5,37.0,42.0,90,34,45,47,-0.25727335044908417,0.014367203844510417,-0.43753532,-0.7582298554903314,0.18293220585333236
nrs,ONE_THREE_LEFT,40.5,38.0,43.0,90,34,45,47,-0.23485066640018779,0.025873412187551716,-0.439065,-0.7169714492174482,0.19485902370845032
nrs,ONE_THREE_LEFT,41.5,39.0,44.0,90,34,45,47,-0.2166269678879854,0.04028673225835731,-0.3763839,-0.5738210670457776,0.22606885646996921
nrs,ONE_THREE_LEFT,42.5,40.0,45.0,90,34,45,47,-0.22210415661299765,0.03538132925454707,-0.3450645,-0.5312040256433618,0.2740631914203332
